principalInvestigator,country,yearCollected,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,collectorList,locality,materialSampleID,genus,specificEpithet,sampleType,diseaseTested,diseaseDetected,fatal,monthCollected,dayCollected,minimumElevationInMeters,maximumElevationInMeters,quantityDetected,dilutionFactor,cycleTimeFirstDetection,continentOcean,stateProvince,municipality,county,locationRemarks,horizontalDatum,georeferenceProtocol,minimumDepthInMeters,maximumDepthInMeters,habitat,eventRemarks,taxTeam,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,lifeStage,establishmentMeans,sex,basisOfRecord,diseaseLineage,genotypeMethod,specimenDisposition,testMethod,diagnosticLab,zeScore,Diagnostics_bcid,Sample_bcid,expeditionCode,projectId,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2800,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2efa1bfba0c91e75c7dd815f720fb5e24,https://n2t.net/ark:/21547/CwG2MNHN1995.2800,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2801,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH25d17c9849876ba71124875ce26bf6096,https://n2t.net/ark:/21547/CwG2MNHN1995.2801,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2802,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH23ae3743b1effc3a35ee26c06ed5f1d29,https://n2t.net/ark:/21547/CwG2MNHN1995.2802,pyrenees,174,
Vance Vredenburg,France,1997,42.694067,-0.325213,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.2683,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,1240,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH219ea1b514cf88489f8cd6162d1f71fdb,https://n2t.net/ark:/21547/CwG2MNHN1997.2683,pyrenees,174,
Vance Vredenburg,France,1997,42.694067,-0.325213,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.2684,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,1240,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH22d5108898e1dea148b56dbb7862eabf9,https://n2t.net/ark:/21547/CwG2MNHN1997.2684,pyrenees,174,
Vance Vredenburg,France,1997,42.694067,-0.325213,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.2685,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,1240,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH243b4984b86892ff8aaa3e1b94544334e,https://n2t.net/ark:/21547/CwG2MNHN1997.2685,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.4375,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH26282c64f12a4e822c92450b82217686f,https://n2t.net/ark:/21547/CwG2MNHN1997.4375,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.4376,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH25ff964637568c989d66de10f9c4a5e30,https://n2t.net/ark:/21547/CwG2MNHN1997.4376,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.4377,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2fcd1f7803e32cbe3d8f9cf459b3ad98c,https://n2t.net/ark:/21547/CwG2MNHN1997.4377,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.4378,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2888c693d1a04f3a4a25b05b4c6d827b8,https://n2t.net/ark:/21547/CwG2MNHN1997.4378,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.4380,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2227ee09ae2384a67ec6f60196d8c06d0,https://n2t.net/ark:/21547/CwG2MNHN1997.4380,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.4381,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2ce693ce434da0e1b526c2cca427cd872,https://n2t.net/ark:/21547/CwG2MNHN1997.4381,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1997.4382,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2b593a6952c571449c755207e2d4f9943,https://n2t.net/ark:/21547/CwG2MNHN1997.4382,pyrenees,174,
